#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,did,type
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:13.825Z,2.018,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:14.025Z,2.013,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:14.225Z,2.023,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:14.425Z,2.013,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:14.625Z,1.98,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:14.825Z,1.982,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:15.025Z,2.03,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:15.225Z,2.023,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:15.425Z,2.03,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:15.625Z,2.019,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:15.825Z,2.006,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:16.025Z,2.03,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:16.225Z,2.028,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:16.425Z,2.031,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:16.625Z,2.015,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:16.825Z,2.01,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:17.025Z,2.011,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:17.225Z,2.028,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:17.425Z,2.037,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:17.625Z,2.017,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:17.825Z,2.001,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:18.025Z,1.999,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:18.225Z,1.995,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:18.425Z,1.998,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:18.625Z,2.001,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:18.825Z,2,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:19.025Z,2.016,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:19.225Z,2.001,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:19.425Z,2.006,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:19.625Z,2.022,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:19.825Z,2.017,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:20.025Z,2.001,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:20.225Z,2.003,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:20.425Z,1.997,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:20.625Z,2.013,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:20.825Z,1.996,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:21.025Z,2.008,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:21.225Z,1.998,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:21.425Z,2.011,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:21.625Z,2.027,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:21.825Z,2.035,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:22.025Z,1.999,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:22.225Z,1.992,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:22.425Z,2.001,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:22.625Z,2.003,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:22.825Z,2.002,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:23.025Z,2.001,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:23.225Z,2,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:23.425Z,1.99,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:23.625Z,2.014,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:23.825Z,2.014,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:24.025Z,2.004,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:24.225Z,2,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:24.425Z,2.009,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:24.625Z,1.99,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:24.825Z,2.011,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:25.025Z,1.999,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:25.225Z,2.014,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:25.425Z,1.999,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:25.625Z,2.006,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:25.825Z,1.991,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:26.025Z,2.008,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:26.225Z,2.014,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:26.425Z,2.005,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:26.625Z,1.998,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:26.825Z,2.014,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:27.025Z,2.001,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:27.225Z,2.001,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:27.425Z,2.013,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:27.625Z,2.015,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:27.825Z,1.996,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:28.025Z,2.004,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:28.225Z,2,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:28.425Z,2.002,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:28.625Z,1.999,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:28.825Z,1.991,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:29.025Z,1.975,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:29.225Z,1.985,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:29.425Z,2.002,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:29.625Z,1.999,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:29.825Z,2.008,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:30.025Z,2.003,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:30.225Z,2.017,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:30.425Z,1.983,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:30.625Z,2,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:30.825Z,1.997,value,I11,3,I
,,0,2026-03-10T09:34:13.647114642Z,2026-03-10T12:34:13.647114642Z,2026-03-10T09:34:31.025Z,1.989,value,I11,3,I
